Activo,Recomendación,MIN_RETURN,MAX_VOLATILITY,OPTIMAL_WEIGHTS
AAPL,Comprar 0.02 unidades,0.30523251442993227,0.23962708872086275,[0.36037133 0.37462445 0.26500423]
GOOGL,Comprar 0.03 unidades,0.30523251442993227,0.23962708872086275,[0.36037133 0.37462445 0.26500423]
MSFT,Comprar 0.01 unidades,0.30523251442993227,0.23962708872086275,[0.36037133 0.37462445 0.26500423]
