date,close,high,low,open,volume,symbol
2024-01-02,184.73497009277344,187.52132261231023,182.9935016661129,186.2376030973938,82488700,AAPL
2024-01-03,183.3517608642578,184.97381929292,182.53575116647167,183.32190833232914,58414500,AAPL
2024-01-04,181.02316284179688,182.19740286158623,179.99818547387906,181.26198308479132,71983600,AAPL
2024-01-05,180.2967071533203,181.8690061871609,179.29163655398915,181.10277101042314,62303300,AAPL
2024-01-08,184.65536499023438,184.6951784875532,180.6151605231867,181.20228054123743,59144500,AAPL
2024-01-09,184.23741149902344,184.24735728099782,181.83915700040632,183.02335798455337,42841800,AAPL
2024-01-10,185.28228759765625,185.49125530087693,183.02335006640843,183.4512616231925,46792900,AAPL
2024-01-11,184.6852264404297,186.13811547472974,182.7248291738061,185.6305920580053,49128400,AAPL
2024-01-12,185.01361083984375,185.8296205077815,184.2871739488164,185.1529277118819,40444700,AAPL
2024-01-16,182.73477172851562,183.361690026594,180.04792262326768,181.27193705900044,65603000,AAPL
2024-01-17,181.78941345214844,182.03819468263436,179.42102646331548,180.3862988523529,47317400,AAPL
2024-01-18,187.7104034423828,188.21791164443712,184.9240508532924,185.18277784532793,78005800,AAPL
2024-01-19,190.62611389160156,191.01421197583775,187.89948151982946,188.4069897270921,68741000,AAPL
2024-01-22,192.9447479248047,194.37773007418247,191.3226896328841,191.36250312836654,60133900,AAPL
2024-01-23,194.2284698486328,194.79569832767794,192.88506035011693,194.06926140547006,42355600,AAPL
2024-01-24,193.55177307128906,195.42261254918643,193.39254945946814,194.4672860626603,53631300,AAPL
2024-01-25,193.223388671875,195.31315691300077,192.1685587692801,194.26827279243787,54822100,AAPL
2024-01-26,191.48191833496094,193.8105067973861,191.00426266727368,193.32290534776368,44594000,AAPL
2024-01-29,190.79527282714844,191.26298269587747,188.65576059016195,191.07390655519137,47145600,AAPL
2024-01-30,187.12327575683594,190.86495502370778,186.55606247111587,190.00914701951908,55859400,AAPL
2024-01-31,183.5010223388672,186.18787167030365,183.45127824224116,186.12815142243116,55467800,AAPL
2024-02-01,185.94903564453125,186.03859323945602,182.9238626911125,183.09303209854838,64885400,AAPL
2024-02-02,184.94395446777344,186.41673495449575,178.3761245608121,178.9831513103476,102518000,AAPL
2024-02-05,186.7650146484375,188.32736786854025,184.9339886658605,187.23272451786957,69668800,AAPL
2024-02-06,188.37713623046875,188.38708201253658,185.8594715869018,185.94902917871246,43490800,AAPL
2024-02-07,188.48660278320312,190.118606941087,187.69049986083044,189.71060210551596,53439000,AAPL
2024-02-08,187.40191650390625,188.6159548348253,186.4366441977198,188.46669218310572,40962000,AAPL
2024-02-09,188.1691436767578,189.30503301755343,187.3222021069975,187.96985257532495,45155200,AAPL
2024-02-12,186.47525024414062,187.98977434952795,186.11654756664825,187.74067569026312,41781900,AAPL
2024-02-13,184.37286376953125,185.53865891732192,182.84838113476025,185.10024282819998,56529500,AAPL
2024-02-14,183.48606872558594,184.8610982078661,181.78224238811126,184.6518638454696,54630500,AAPL
2024-02-15,183.19712829589844,183.82486181575325,180.69618309757163,182.88824837462906,65434500,AAPL
2024-02-16,181.6527099609375,184.18356093832674,181.015017979917,182.75870865343296,49701400,AAPL
2024-02-20,180.90541076660156,181.77226924950583,179.3510375405212,181.134577279735,53665600,AAPL
2024-02-21,181.66268920898438,182.23062628266825,180.00867035619171,181.28405435734408,41529700,AAPL
